Wk,Date,Rk,School,Prev,Chng,1st,Conf,This Week
8,2024-10-13,1,Texas (6-0),1,,56,SEC,W 34-3 vs. #18 Oklahoma
8,2024-10-13,2,Oregon (6-0),3,1,6,Big Ten,W 32-31 vs. #2 Ohio State
8,2024-10-13,3,Penn State (6-0),4,1,,Big Ten,W 33-30 vs. USC
8,2024-10-13,4,Ohio State (5-1),2,2,,Big Ten,L 31-32 vs. #3 Oregon
8,2024-10-13,5,Georgia (5-1),5,,,SEC,W 41-31 vs. Mississippi State
8,2024-10-13,6,Miami (FL) (6-0),6,,,ACC,No game
8,2024-10-13,7,Alabama (5-1),7,,,SEC,W 27-25 vs. South Carolina
8,2024-10-13,8,LSU (5-1),13,5,,SEC,W 29-26 vs. #9 Ole Miss
8,2024-10-13,9,Iowa State (6-0),11,2,,Big 12,W 28-16 vs. West Virginia
8,2024-10-13,10,Clemson (5-1),10,,,ACC,W 49-14 vs. Wake Forest
8,2024-10-13,11,Tennessee (5-1),8,3,,SEC,W 23-17 vs. Florida
8,2024-10-13,12,Notre Dame (5-1),11,1,,Ind,W 49-7 vs. Stanford
8,2024-10-13,13,BYU (6-0),14,1,,Big 12,W 41-19 vs. Arizona
8,2024-10-13,14,Texas A&M (5-1),15,1,,SEC,No game
8,2024-10-13,15,Boise State (5-1),17,2,,MWC,W 28-7 vs. Hawaii
8,2024-10-13,16,Indiana (6-0),18,2,,Big Ten,No game
8,2024-10-13,17,Kansas State (5-1),18,1,,Big 12,W 31-28 vs. Colorado
8,2024-10-13,18,Ole Miss (5-2),9,9,,SEC,L 26-29 vs. #13 LSU
8,2024-10-13,19,Missouri (5-1),21,2,,SEC,W 45-3 vs. Massachusetts
8,2024-10-13,20,Pitt (6-0),22,2,,ACC,W 17-15 vs. California
8,2024-10-13,21,SMU (5-1),25,4,,ACC,No game
8,2024-10-13,22,Illinois (5-1),23,1,,Big Ten,W 50-49 vs. Purdue
8,2024-10-13,23,Army (6-0),,,,American,W 44-10 vs. UAB
8,2024-10-13,24,Michigan (4-2),24,,,Big Ten,No game
8,2024-10-13,25,Navy (5-0),,,,American,No game
7,2024-10-06,1,Texas (5-0),2,1,52,SEC,
7,2024-10-06,2,Ohio State (5-0),3,1,9,Big Ten,
7,2024-10-06,3,Oregon (5-0),6,3,,Big Ten,
7,2024-10-06,4,Penn State (5-0),7,3,,Big Ten,
7,2024-10-06,5,Georgia (4-1),5,,,SEC,
7,2024-10-06,6,Miami (FL) (6-0),8,2,,ACC,
7,2024-10-06,7,Alabama (4-1),1,6,,SEC,
7,2024-10-06,8,Tennessee (4-1),4,4,,SEC,
7,2024-10-06,9,Ole Miss (5-1),12,3,,SEC,
7,2024-10-06,10,Clemson (4-1),15,5,,ACC,
7,2024-10-06,11,Iowa State (5-0),16,5,,Big 12,
7,2024-10-06,11,Notre Dame (4-1),14,3,,Ind,
7,2024-10-06,13,LSU (4-1),13,,,SEC,
7,2024-10-06,14,BYU (5-0),17,3,,Big 12,
7,2024-10-06,15,Texas A&M (5-1),25,10,,SEC,
7,2024-10-06,16,Utah (4-1),18,2,,Big 12,
7,2024-10-06,17,Boise State (4-1),21,4,,MWC,
7,2024-10-06,18,Indiana (6-0),23,5,,Big Ten,
7,2024-10-06,18,Kansas State (4-1),20,2,,Big 12,
7,2024-10-06,18,Oklahoma (4-1),19,1,,SEC,
7,2024-10-06,21,Missouri (4-1),9,12,,SEC,
7,2024-10-06,22,Pitt (5-0),,,,ACC,
7,2024-10-06,23,Illinois (4-1),24,1,,Big Ten,
7,2024-10-06,24,Michigan (4-2),10,14,,Big Ten,
7,2024-10-06,25,SMU (5-1),,,,ACC,
6,2024-09-29,1,Alabama (4-0),4,3,40,SEC,
6,2024-09-29,2,Texas (5-0),1,1,19,SEC,
6,2024-09-29,3,Ohio State (4-0),3,,4,Big Ten,
6,2024-09-29,4,Tennessee (4-0),5,1,,SEC,
6,2024-09-29,5,Georgia (3-1),2,3,,SEC,
6,2024-09-29,6,Oregon (4-0),8,2,,Big Ten,
6,2024-09-29,7,Penn State (4-0),9,2,,Big Ten,
6,2024-09-29,8,Miami (FL) (5-0),7,1,,ACC,
6,2024-09-29,9,Missouri (4-0),11,2,,SEC,
6,2024-09-29,10,Michigan (4-1),12,2,,Big Ten,
6,2024-09-29,11,USC (3-1),13,2,,Big Ten,
6,2024-09-29,12,Ole Miss (4-1),6,6,,SEC,
6,2024-09-29,13,LSU (4-1),14,1,,SEC,
6,2024-09-29,14,Notre Dame (4-1),16,2,,Ind,
6,2024-09-29,15,Clemson (3-1),17,2,,ACC,
6,2024-09-29,16,Iowa State (4-0),18,2,,Big 12,
6,2024-09-29,17,BYU (5-0),22,5,,Big 12,
6,2024-09-29,18,Utah (4-1),10,8,,Big 12,
6,2024-09-29,19,Oklahoma (4-1),21,2,,SEC,
6,2024-09-29,20,Kansas State (4-1),23,3,,Big 12,
6,2024-09-29,21,Boise State (3-1),25,4,,MWC,
6,2024-09-29,22,Louisville (3-1),15,7,,ACC,
6,2024-09-29,23,Indiana (5-0),,,,Big Ten,
6,2024-09-29,24,Illinois (4-1),19,5,,Big Ten,
6,2024-09-29,25,Nevada-Las Vegas (4-0),,,,MWC,
6,2024-09-29,25,Texas A&M (4-1),24,1,,SEC,
5,2024-09-22,1,Texas (4-0),1,,44,SEC,
5,2024-09-22,2,Georgia (3-0),2,,13,SEC,
5,2024-09-22,3,Ohio State (3-0),3,,5,Big Ten,
5,2024-09-22,4,Alabama (3-0),4,,,SEC,
5,2024-09-22,5,Tennessee (4-0),6,1,,SEC,
5,2024-09-22,6,Ole Miss (4-0),5,1,,SEC,
5,2024-09-22,7,Miami (FL) (4-0),8,1,,ACC,
5,2024-09-22,8,Oregon (3-0),9,1,,Big Ten,
5,2024-09-22,9,Penn State (3-0),10,1,,Big Ten,
5,2024-09-22,10,Utah (4-0),12,2,,Big 12,
5,2024-09-22,11,Missouri (4-0),7,4,,SEC,
5,2024-09-22,12,Michigan (3-1),18,6,,Big Ten,
5,2024-09-22,13,USC (2-1),11,2,,Big Ten,
5,2024-09-22,14,LSU (3-1),16,2,,SEC,
5,2024-09-22,15,Louisville (3-0),19,4,,ACC,
5,2024-09-22,16,Notre Dame (3-1),17,1,,Ind,
5,2024-09-22,17,Clemson (2-1),21,4,,ACC,
5,2024-09-22,18,Iowa State (3-0),20,2,,Big 12,
5,2024-09-22,19,Illinois (4-0),24,5,,Big Ten,
5,2024-09-22,20,Oklahoma State (3-1),14,6,,Big 12,
5,2024-09-22,21,Oklahoma (3-1),15,6,,SEC,
5,2024-09-22,22,BYU (4-0),,,,Big 12,
5,2024-09-22,23,Kansas State (3-1),13,10,,Big 12,
5,2024-09-22,24,Texas A&M (3-1),25,1,,SEC,
5,2024-09-22,25,Boise State (2-1),,,,MWC,
4,2024-09-15,1,Texas (3-0),2,1,35,SEC,
4,2024-09-15,2,Georgia (3-0),1,1,23,SEC,
4,2024-09-15,3,Ohio State (2-0),3,,5,Big Ten,
4,2024-09-15,4,Alabama (3-0),4,,,SEC,
4,2024-09-15,5,Ole Miss (3-0),5,,,SEC,
4,2024-09-15,6,Tennessee (3-0),7,1,,SEC,
4,2024-09-15,7,Missouri (3-0),6,1,,SEC,
4,2024-09-15,8,Miami (FL) (3-0),10,2,,ACC,
4,2024-09-15,9,Oregon (3-0),9,,,Big Ten,
4,2024-09-15,10,Penn State (2-0),8,2,,Big Ten,
4,2024-09-15,11,USC (2-0),11,,,Big Ten,
4,2024-09-15,12,Utah (3-0),12,,,Big 12,
4,2024-09-15,13,Kansas State (3-0),14,1,,Big 12,
4,2024-09-15,14,Oklahoma State (3-0),13,1,,Big 12,
4,2024-09-15,15,Oklahoma (3-0),15,,,SEC,
4,2024-09-15,16,LSU (2-1),16,,,SEC,
4,2024-09-15,17,Notre Dame (2-1),18,1,,Ind,
4,2024-09-15,18,Michigan (2-1),17,1,,Big Ten,
4,2024-09-15,19,Louisville (2-0),19,,,ACC,
4,2024-09-15,20,Iowa State (2-0),21,1,,Big 12,
4,2024-09-15,21,Clemson (1-1),22,1,,ACC,
4,2024-09-15,22,Nebraska (3-0),23,1,,Big Ten,
4,2024-09-15,23,Northern Illinois (2-0),25,2,,MAC,
4,2024-09-15,24,Illinois (3-0),,,,Big Ten,
4,2024-09-15,25,Texas A&M (2-1),,,,SEC,
3,2024-09-08,1,Georgia (2-0),1,,54,SEC,
3,2024-09-08,2,Texas (2-0),3,1,4,SEC,
3,2024-09-08,3,Ohio State (2-0),2,1,5,Big Ten,
3,2024-09-08,4,Alabama (2-0),4,,,SEC,
3,2024-09-08,5,Ole Miss (2-0),6,1,,SEC,
3,2024-09-08,6,Missouri (2-0),9,3,,SEC,
3,2024-09-08,7,Tennessee (2-0),14,7,,SEC,
3,2024-09-08,8,Penn State (2-0),8,,,Big Ten,
3,2024-09-08,9,Oregon (2-0),7,2,,Big Ten,
3,2024-09-08,10,Miami (FL) (2-0),12,2,,ACC,
3,2024-09-08,11,USC (2-0),13,2,,Big Ten,
3,2024-09-08,12,Utah (2-0),11,1,,Big 12,
3,2024-09-08,13,Oklahoma State (2-0),16,3,,Big 12,
3,2024-09-08,14,Kansas State (2-0),17,3,,Big 12,
3,2024-09-08,15,Oklahoma (2-0),15,,,SEC,
3,2024-09-08,16,LSU (1-1),18,2,,SEC,
3,2024-09-08,17,Michigan (1-1),10,7,,Big Ten,
3,2024-09-08,18,Notre Dame (1-1),5,13,,Ind,
3,2024-09-08,19,Louisville (2-0),22,3,,ACC,
3,2024-09-08,20,Arizona (2-0),20,,,Big 12,
3,2024-09-08,21,Iowa State (2-0),,,,Big 12,
3,2024-09-08,22,Clemson (1-1),25,3,,ACC,
3,2024-09-08,23,Nebraska (2-0),,,,Big Ten,
3,2024-09-08,24,Boston College (2-0),,,,ACC,
3,2024-09-08,25,Northern Illinois (2-0),,,,MAC,
2,2024-09-03,1,Georgia (1-0),1,,57,SEC,
2,2024-09-03,2,Ohio State (1-0),2,,5,Big Ten,
2,2024-09-03,3,Texas (1-0),4,1,,SEC,
2,2024-09-03,4,Alabama (1-0),5,1,,SEC,
2,2024-09-03,5,Notre Dame (1-0),7,2,,Ind,
2,2024-09-03,6,Ole Miss (1-0),6,,,SEC,
2,2024-09-03,7,Oregon (1-0),3,4,,Big Ten,
2,2024-09-03,8,Penn State (1-0),8,,,Big Ten,
2,2024-09-03,9,Missouri (1-0),11,2,,SEC,
2,2024-09-03,10,Michigan (1-0),9,1,,Big Ten,
2,2024-09-03,11,Utah (1-0),12,1,,Big 12,
2,2024-09-03,12,Miami (FL) (1-0),19,7,,ACC,
2,2024-09-03,13,USC (1-0),23,10,,Big Ten,
2,2024-09-03,14,Tennessee (1-0),15,1,,SEC,
2,2024-09-03,15,Oklahoma (1-0),16,1,,SEC,
2,2024-09-03,16,Oklahoma State (1-0),17,1,,Big 12,
2,2024-09-03,17,Kansas State (1-0),18,1,,Big 12,
2,2024-09-03,18,LSU (0-1),13,5,,SEC,
2,2024-09-03,19,Kansas (1-0),22,3,,Big 12,
2,2024-09-03,20,Arizona (1-0),21,1,,Big 12,
2,2024-09-03,21,Iowa (1-0),25,4,,Big Ten,
2,2024-09-03,22,Louisville (1-0),,,,ACC,
2,2024-09-03,23,Georgia Tech (2-0),,,,ACC,
2,2024-09-03,24,North Carolina State (1-0),24,,,ACC,
2,2024-09-03,25,Clemson (0-1),14,11,,ACC,
1,Preseason,1,Georgia,NA,—,46,SEC,
1,Preseason,2,Ohio State,NA,—,15,Big Ten,
1,Preseason,3,Oregon,NA,—,1,Big Ten,
1,Preseason,4,Texas,NA,—,,SEC,
1,Preseason,5,Alabama,NA,—,,SEC,
1,Preseason,6,Ole Miss,NA,—,,SEC,
1,Preseason,7,Notre Dame,NA,—,,Ind,
1,Preseason,8,Penn State,NA,—,,Big Ten,
1,Preseason,9,Michigan,NA,—,,Big Ten,
1,Preseason,10,Florida State,NA,—,,ACC,
1,Preseason,11,Missouri,NA,—,,SEC,
1,Preseason,12,Utah,NA,—,,Big 12,
1,Preseason,13,LSU,NA,—,,SEC,
1,Preseason,14,Clemson,NA,—,,ACC,
1,Preseason,15,Tennessee,NA,—,,SEC,
1,Preseason,16,Oklahoma,NA,—,,SEC,
1,Preseason,17,Oklahoma State,NA,—,,Big 12,
1,Preseason,18,Kansas State,NA,—,,Big 12,
1,Preseason,19,Miami (FL),NA,—,,ACC,
1,Preseason,20,Texas A&M,NA,—,,SEC,
1,Preseason,21,Arizona,NA,—,,Big 12,
1,Preseason,22,Kansas,NA,—,,Big 12,
1,Preseason,23,USC,NA,—,,Big Ten,
1,Preseason,24,North Carolina State,NA,—,,ACC,
1,Preseason,25,Iowa,NA,—,,Big Ten,